order_id,date,sku,product_name,quantity,price,revenue,status,logistics_type
ORD-260130-89324,30.01.2026,192837465,Подарочный набор полотенец,1,478.00,478.00,delivered,FBO
ORD-260130-89947,30.01.2026,184920374,Ароматизатор в машину + полотенце,2,606.00,1212.00,delivered,FBO
ORD-260130-40985,30.01.2026,209384756,Махровые полотенца 2 шт,2,536.00,1072.00,delivered,FBS
ORD-260130-86128,30.01.2026,192837465,Подарочный набор полотенец,2,478.00,956.00,delivered,FBO
ORD-260130-53369,30.01.2026,192837465,Подарочный набор полотенец,3,478.00,1434.00,delivered,FBO
ORD-260130-58022,30.01.2026,184756392,Набор кремов для рук 5 шт,3,429.00,1287.00,delivered,FBS
ORD-260130-59018,30.01.2026,193847562,Килт-полотенце для женщин,2,753.00,1506.00,delivered,FBS
ORD-260130-97713,30.01.2026,209384756,Махровые полотенца 2 шт,2,536.00,1072.00,delivered,FBS
ORD-260131-13413,31.01.2026,193847562,Килт-полотенце для женщин,2,753.00,1506.00,delivered,FBS
ORD-260131-87803,31.01.2026,184920374,Ароматизатор в машину + полотенце,2,606.00,1212.00,delivered,FBO
ORD-260131-30976,31.01.2026,184756392,Набор кремов для рук 5 шт,3,429.00,1287.00,delivered,FBS
ORD-260131-62969,31.01.2026,198273645,Набор полотенец вафельные 12 шт,1,1013.00,1013.00,delivered,FBO
ORD-260131-26023,31.01.2026,184920374,Ароматизатор в машину + полотенце,2,606.00,1212.00,cancelled,FBO
ORD-260131-70249,31.01.2026,209384756,Махровые полотенца 2 шт,2,536.00,1072.00,delivered,FBS
ORD-260131-73608,31.01.2026,193847562,Килт-полотенце для женщин,3,753.00,2259.00,delivered,FBS
ORD-260131-15381,31.01.2026,198273645,Набор полотенец вафельные 12 шт,2,1013.00,2026.00,delivered,FBO
ORD-260131-61359,31.01.2026,201938475,Полотенце банное микрофибра,2,670.00,1340.00,delivered,FBO
ORD-260131-99215,31.01.2026,184920374,Ароматизатор в машину + полотенце,1,606.00,606.00,delivered,FBO
ORD-260131-70028,31.01.2026,209384756,Махровые полотенца 2 шт,3,536.00,1608.00,cancelled,FBS
ORD-260131-81354,31.01.2026,193847562,Килт-полотенце для женщин,2,753.00,1506.00,awaiting_packaging,FBS
ORD-260131-96166,31.01.2026,184756392,Набор кремов для рук 5 шт,1,429.00,429.00,cancelled,FBS
ORD-260131-74235,31.01.2026,198273645,Набор полотенец вафельные 12 шт,2,1013.00,2026.00,delivered,FBO
ORD-260131-27792,31.01.2026,201938475,Полотенце банное микрофибра,1,670.00,670.00,delivered,FBO
ORD-260131-49558,31.01.2026,192837465,Подарочный набор полотенец,3,478.00,1434.00,delivered,FBO
ORD-260131-94533,31.01.2026,201938475,Полотенце банное микрофибра,3,670.00,2010.00,delivered,FBO
ORD-260131-41329,31.01.2026,184920374,Ароматизатор в машину + полотенце,2,606.00,1212.00,delivered,FBO
ORD-260201-13498,01.02.2026,209384756,Махровые полотенца 2 шт,1,536.00,536.00,delivered,FBS
ORD-260201-62570,01.02.2026,184920374,Ароматизатор в машину + полотенце,2,606.00,1212.00,cancelled,FBO
ORD-260201-92613,01.02.2026,201938475,Полотенце банное микрофибра,3,670.00,2010.00,awaiting_packaging,FBO
ORD-260201-68711,01.02.2026,198273645,Набор полотенец вафельные 12 шт,1,1013.00,1013.00,delivered,FBO
